APMC,Commodity,combination_label,date,modal_price,quarter,deseasonalise_price
Rahata,ladies finger,Rahata:ladies finger,2014-12-01,3363.0,4,3021.2918013820636
Rahata,ladies finger,Rahata:ladies finger,2015-01-01,3648.5,1,3795.368484576877
Rahata,ladies finger,Rahata:ladies finger,2015-02-01,3358.0,1,3493.1745569985346
Rahata,ladies finger,Rahata:ladies finger,2015-03-01,2325.0,1,2418.591675110659
Rahata,ladies finger,Rahata:ladies finger,2015-04-01,1767.0,2,1698.580246383995
Rahata,ladies finger,Rahata:ladies finger,2015-05-01,1600.0,2,1538.0466294365547
Rahata,ladies finger,Rahata:ladies finger,2015-06-01,2229.0,2,2142.6912106338
Rahata,ladies finger,Rahata:ladies finger,2015-07-01,1280.0,3,1475.8411514962324
Rahata,ladies finger,Rahata:ladies finger,2015-08-01,1264.0,3,1457.3931371025296
Rahata,ladies finger,Rahata:ladies finger,2015-09-01,2077.0,3,2394.7828684825586
Rahata,ladies finger,Rahata:ladies finger,2015-10-01,1933.0,4,1736.591451701317
Rahata,ladies finger,Rahata:ladies finger,2015-11-01,2350.0,4,2111.220854370458
Rahata,ladies finger,Rahata:ladies finger,2015-12-01,2367.0,4,2126.493515870159
Rahata,ladies finger,Rahata:ladies finger,2016-01-01,2218.0,1,2307.284445331373
Rahata,ladies finger,Rahata:ladies finger,2016-02-01,2009.0,1,2089.8712581923933
Rahata,ladies finger,Rahata:ladies finger,2016-03-01,2143.0,1,2229.2653590374807
Rahata,ladies finger,Rahata:ladies finger,2016-04-01,2564.0,2,2464.719723672079
Rahata,ladies finger,Rahata:ladies finger,2016-05-01,2469.0,2,2373.398205049283
Rahata,ladies finger,Rahata:ladies finger,2016-06-01,3648.5,2,3507.2269546870434
Rahata,ladies finger,Rahata:ladies finger,2016-07-01,2525.0,3,2911.32727150624
Rahata,ladies finger,Rahata:ladies finger,2016-08-01,1662.0,3,1916.2874951458894
Rahata,ladies finger,Rahata:ladies finger,2016-09-01,756.0,3,871.6686801024623
Rahata,ladies finger,Rahata:ladies finger,2016-10-01,1000.0,4,898.3918529235991
Rahata,ladies finger,Rahata:ladies finger,2016-11-01,2600.0,4,2335.8188176013578
Rahata,bottle gourd,Rahata:bottle gourd,2014-09-01,369.0,3,526.9166666666666
Rahata,bottle gourd,Rahata:bottle gourd,2014-10-01,333.0,4,261.5
Rahata,bottle gourd,Rahata:bottle gourd,2014-11-01,360.0,4,288.5
Rahata,bottle gourd,Rahata:bottle gourd,2014-12-01,663.0,4,591.5
Rahata,bottle gourd,Rahata:bottle gourd,2015-01-01,661.0,1,636.5833333333334
Rahata,bottle gourd,Rahata:bottle gourd,2015-02-01,656.0,1,631.5833333333334
Rahata,bottle gourd,Rahata:bottle gourd,2015-03-01,709.0,1,684.5833333333334
Rahata,bottle gourd,Rahata:bottle gourd,2015-04-01,462.0,2,402.3333333333333
Rahata,bottle gourd,Rahata:bottle gourd,2015-05-01,450.0,2,390.3333333333333
Rahata,bottle gourd,Rahata:bottle gourd,2015-06-01,633.0,2,573.3333333333334
Rahata,bottle gourd,Rahata:bottle gourd,2015-07-01,600.0,3,757.9166666666666
Rahata,bottle gourd,Rahata:bottle gourd,2015-08-01,773.0,3,930.9166666666666
Rahata,bottle gourd,Rahata:bottle gourd,2015-09-01,617.0,3,774.9166666666666
Rahata,bottle gourd,Rahata:bottle gourd,2015-10-01,1025.0,4,953.5
Rahata,bottle gourd,Rahata:bottle gourd,2015-11-01,1320.0,4,1248.5
Rahata,bottle gourd,Rahata:bottle gourd,2015-12-01,1215.0,4,1143.5
Rahata,bottle gourd,Rahata:bottle gourd,2016-01-01,1082.0,1,1057.5833333333333
Rahata,bottle gourd,Rahata:bottle gourd,2016-02-01,1283.0,1,1258.5833333333333
Rahata,bottle gourd,Rahata:bottle gourd,2016-03-01,1462.0,1,1437.5833333333333
Rahata,bottle gourd,Rahata:bottle gourd,2016-04-01,1930.0,2,1870.3333333333333
Rahata,bottle gourd,Rahata:bottle gourd,2016-05-01,1796.0,2,1736.3333333333333
Rahata,bottle gourd,Rahata:bottle gourd,2016-06-01,2254.0,2,2194.3333333333335
Rahata,bottle gourd,Rahata:bottle gourd,2016-07-01,1750.0,3,1907.9166666666667
Rahata,bottle gourd,Rahata:bottle gourd,2016-08-01,596.0,3,753.9166666666666
Rahata,bottle gourd,Rahata:bottle gourd,2016-09-01,375.0,3,532.9166666666666
